"Package","Classes","Total"
"GEOquery","",0
"ggbio","GGbio, Ideogram, Plot, Tracks, Tracked, Grob",6
"ggcyto","ggcyto_GatingSet, ggcyto, ggcyto_GatingLayout, ggcyto_flowSet",4
"ggmsa","",0
"ggtree","",0
"ggtreeExtra","",0
"GLAD","",0
"Glimma","",0
"glmGamPoi","",0
"globaltest","gt.object, mlogit",2
"GOfuncR","",0
"GOSemSim","GOSemSimDATA",1
"goseq","",0
"GOstats","GOHyperGResult",1
"gpls","",0
"graph","edgeSetAM, attrData, graph, renderInfo, graphAM, edgeSet, graphBAM, simpleEdge, distGraph, MultiGraph, edgeSetNEL, graphNEL, multiGraph, clusterGraph, graphBase",15
"graphite","Pathway, PathwayList, Pathways",3
"GreyListChIP","GreyList",1
"GSEABase","EntrezIdentifier, NullCollection, GOCollection, CollectionType, EnzymeIdentifier, KEGGCollection, AnnotationIdentifier, RefseqIdentifier, BroadCollection, CollectionIdType, GeneSet, GOAllFrameIdentifier, PfamCollection, NullIdentifier, UniprotIdentifier, GeneSetCollection, OBOCollection, PrositeCollection, SymbolIdentifier, ENSEMBLIdentifier, GeneColorSet, MapCollection, GenenameIdentifier, OMIMCollection, GeneIdentifierType, ComputedCollection, ChrlocCollection, ChrCollection, ExpressionSetCollection, PMIDCollection",30
"GSVA","ssgseaParam, GsvaExprData, gsvaParam, zscoreParam, GsvaGeneSets, GsvaMethodParam, plageParam",7
"Gviz","BiomartGeneRegionTrack, SequenceTrack, OverlayTrack, GeneRegionTrack, DataTrack, ReferenceAnnotationTrack, AnnotationTrack, StackedTrack, CustomTrack, ReferenceAlignmentsTrack, ReferenceDataTrack, ImageMap, SequenceBSgenomeTrack, DetailsAnnotationTrack, ReferenceGeneRegionTrack, SequenceDNAStringSetTrack, SequenceRNAStringSetTrack, ReferenceTrack, HighlightTrack, IdeogramTrack, ReferenceSequenceTrack, NumericTrack, DisplayPars, GenomeAxisTrack, GdObject, AlignmentsTrack, RangeTrack",27
"gwascat","gwaswloc",1
"GWASTools","GdsIntensityReader, GenotypeBlockIterator, IntensityData, SnpAnnotationDataFrame, NcdfGenotypeReader, GenotypeData, GenotypeIterator, SnpAnnotationSQLite, NcdfIntensityReader, NcdfReader, ScanAnnotationSQLite, GdsReader, GdsGenotypeReader, MatrixGenotypeReader, ScanAnnotationDataFrame",15
"GWENA","",0
"Harman","",0
"HDF5Array","TENxRealizationSink, HDF5Matrix, TENxMatrixSeed, character_OR_H5File, H5FileID, H5DSetDescriptor, H5SparseMatrixSeed, ReshapedHDF5ArraySeed, CSC_H5SparseMatrixSeed, TENxMatrix, HDF5Array, CSC_H5ADMatrixSeed, HDF5ArraySeed, H5File, CSR_H5ADMatrixSeed, HDF5RealizationSink, H5ADMatrixSeed, Dense_H5ADMatrixSeed, ReshapedHDF5Matrix, ReshapedHDF5Array, H5ADMatrix, CSR_H5SparseMatrixSeed, H5SparseMatrix",23
"heatmaps","Heatmap",1
"Heatplus","",0
"HiCcompare","",0
"HilbertVis","",0
"HMMcopy","",0
"hopach","hdist",1
"hpar","",0
"HTSFilter","",0
"Icens","",0
"iClusterPlus","",0
"IHW","",0
"illuminaio","",0
"impute","",0
"InteractionSet","GInteractions, InteractionSet, ReverseStrictGInteractions, ContactMatrix, StrictGInteractions",5
"InteractiveComplexHeatmap","",0
"interactiveDisplayBase","",0
"IRanges","PartitioningByEnd, SimpleManyToManyGrouping, BaseManyToManyGrouping, Pos, RleViewsList, CompressedList, SimpleManyToOneGrouping, GroupingIRanges, CompressedIntegerRangesList, IPosList, SimpleCharacterList, SimpleSplitDFrameList, IRangesList, LogicalList, SimpleComplexList, StitchedIPos, CompressedRangesList, H2LGrouping, CompressedDFrameList, IntegerList, ManyToManyGrouping, IPosRanges, IntegerRanges, DataFrameList, CompressedNormalIRangesList, CompressedManyToManyGrouping, AtomicList, CompressedCharacterList, IPos, CompressedAtomicList, NCLists, SimpleRleList, NormalIRangesList, SimpleSplitDataFrameList, ViewsList, Views, CompressedNumericList, ComplexList, SimpleIPosList, ManyToOneGrouping, CompressedSplitDataFrameList, CompressedLogicalList, SimpleIntegerList, SimpleIntegerRangesList, RangesList, CompressedIntegerList, RawList, PartitioningByWidth, CompressedPosList, CompressedIRangesList, CompressedIPosList, SimpleRawList, SplitDFrameList, Grouping, Ranges, SimpleViewsList, SimpleRleViewsList, CharacterList, CompressedRawList, FactorList, GroupingRanges, SimplePosList, PosList, SimpleAtomicList, UnstitchedIPos, NCList, SimpleNormalIRangesList, SplitDataFrameList, CompressedManyToOneGrouping, SimpleNumericList, MaskCollection, CompressedComplexList, PartitioningMap, RangedSelection, SimpleIRangesList, SimpleRangesList, CompressedGrouping, IntegerRanges_OR_missing, CompressedDataFrameList, Partitioning, NumericList, CompressedFactorList, IRanges, NormalIRanges, IntegerRangesList, CompressedSplitDFrameList, SimpleLogicalList, Dups, SimpleDataFrameList, CompressedRleList, DFrameList, SimpleDFrameList, SimpleGrouping, RleList, SimpleFactorList, RleViews",96
"iSEE","ColumnTable, ExperimentColorMap, RowTable, ColumnDotPlot, Table, ColumnDataTable, SampleAssayPlot, ComplexHeatmapPlot, ReducedDimensionPlot, DotPlot, Panel, RowDotPlot, RowDataTable, RowDataPlot, FeatureAssayPlot, ColumnDataPlot",16
"IsoformSwitchAnalyzeR","switchAnalyzeRlist",1
"karyoploteR","",0
"KEGGgraph","KEGGEdgeSubType, KEGGGroup, KEGGNode, KEGGGraphics, KEGGReaction, KEGGPathway, KEGGPathwayInfo, KEGGEdge",8
"KEGGREST","",0
"LBE","",0
"LEA","",0
"lefser","",0
"lfa","",0
"limma","TestResults, EListRaw, MDS, RGList, Roast, MAList, MArrayLM, LargeDataObject, EList",9
"Linnorm","",0
"lipidr","LipidomicsExperiment",1
"LOLA","",0
"LoomExperiment","LoomExperiment, RangedLoomExperiment, SingleCellLoomExperiment, LoomGraphs, LoomGraph",5
"lpsymphony","",0
"lumi","LumiBatch",1
"M3C","",0
"M3Drop","",0
"Maaslin2","",0
"made4","",0
"maftools","GISTIC, MAF",2
"MAGeCKFlute","",0
"marray","marrayNorm, marrayInfo, marrayLayout, ShowLargeObject, marrayRaw",5
"maSigPro","",0
"MAST","",0
"MatrixGenerics","matrix_OR_array_OR_table_OR_numeric",1
"matter","matter_arr, matter_str, drle_fct, matter_fct, atoms, sparse_mat, sparse_vec, matter_list, matter, matter_mat, drle, matter_vec, sparse_arr",13
"mbkmeans","",0
"memes","",0
"MeSHDbi","MeSHDb",1
"MetaboAnnotation","CompAnnotationSource, CompareSpectraParam, MatchedSpectra, CompDbSource, Matched",5
"MetaboCoreUtils","",0
"metaCCA","",0
"metagenomeSeq","fitFeatureModelResults, MRexperiment, fitZigResults",3
"metapod","",0
"methylKit","methylRaw, methylRawList, methylRawListDB, methylRawDB, methylBase, methylBaseDB, methylDiff, methylDiffDB",8
"methylumi","MethyLumiM, MethyLumiQC, MethyLumiSet, MethyLumi, methylData",5
"Mfuzz","",0
"mia","",0
"miaViz","",0
"microbiome","",0
"microbiomeMarker","postHocTest, microbiomeMarker, marker_table",3
"MicrobiotaProcess","alphasample, diffAnalysisClass, MPSE, pcasample, ordplotClass",5
"miloR","Milo",1
"minet","",0
"minfi","RatioSet, GenomicMethylSet, IlluminaMethylationManifest, GenomicRatioSet, RGChannelSetExtended, MethylSet, RGChannelSet, IlluminaMethylationAnnotation",8
"missMethyl","",0
"mixOmics","",0
"MLInterfaces","prcompObj, projectedLearner, raboostCont, varImpStruct, prcomp, classifierOutput, clusteringSchema, learnerSchema, daboostCont, NULL_OR_list, xvalSpec, clusteringOutput, silhouette",13
"MOFA2","MOFA",1
"monocle","CellType, CellTypeHierarchy, CellDataSet",3
"MotifDb","MotifList",1
"msa","MsaMetaData, MsaDNAMultipleAlignment, MsaAAMultipleAlignment, MsaRNAMultipleAlignment",4
"MsBackendMgf","MsBackendMgf",1
"MsCoreUtils","",0
"MsExperiment","MsExperimentFiles, MsExperiment",2
"MsFeatures","AbundanceSimilarityParam, SimilarRtimeParam",2
"msmsEDA","",0
"msmsTests","",0
"MSnbase","pSet, FoICollection, Spectrum1, Spectrum2, MSnSetList, MSpectra, Chromatogram, FeatComp, MSmap, MSnExp, Spectrum, OnDiskMSnExp, MSnSet, MIAPE, MzTab, ReporterIons, MChromatograms, FeaturesOfInterest, MSnProcess",19
"MSnID","",0
"MSstats","",0
"MSstatsConvert","",0
"MSstatsTMT","",0
"MultiAssayExperiment","MultiAssayExperiment, MatchedAssayExperiment, ExperimentList",3
"MultiDataSet","MultiDataSet, ResultSet",2
"multiMiR","mmquery_bioc",1
"multtest","MTP, EBMTP",2
"MungeSumstats","",0
"muscat","",0
"muscle","",0
"MutationalPatterns","region_cossim",1
"mygene","MyGene",1
"mzR","mzRpwiz, mzRnetCDF, mzRident, mzR",4
"NanoStringNCTools","SignatureSet, NanoStringRccSet",2
"ncdfFlow","ncdfFlowList, ncdfFlowSet",2
"Nebulosa","",0
"NOISeq","PCA, CountsBio, CD, Output, lengthbias, GCbias, Biodetection, Saturation",8
"NormqPCR","",0
"oligoClasses","CNSet, gSet, ExpressionPDInfo, NgsExpressionPDInfo, BeadStudioSetList, AffySNPPDInfo, BafLrrSet, ExpressionFeatureSet, NgsTilingPDInfo, oligoSnpSet, AffySNPCNVPDInfo, ff_or_matrix, GenericPDInfo, AffyGenePDInfo, SnpSuperSet, TilingPDInfo, gSetList, AlleleSet, GeneFeatureSet, BeadStudioSet, SnpCnvFeatureSet, SnpSet2, AffyExonPDInfo, CopyNumberSet, SnpFeatureSet, GenericFeatureSet, ExonFeatureSet, BafLrrSetList, AffyTilingPDInfo, AffyExpressionPDInfo, DBPDInfo, TilingFeatureSet, GenomeAnnotatedDataFrame, FeatureSet, oligoSetList",35
"OmaDB","",0
"OmicCircos","",0
"OmnipathR","",0
"ontoProc","TermSet",1
"openCyto","gatingTemplate",1
"ORFik","covRle, experiment, covRleList",3
"Organism.dplyr","BasicFilter",1
"OrganismDbi","OrganismDb",1
"orthogene","",0
"PADOG","",0
"pathview","",0
"pcaMethods","nlpcaNet, nniRes, pcaRes",3
"PCAtools","",0
"PeacoQC","",0
"pfamAnalyzeR","",0
"PharmacoGx","",0
"philr","",0
"phyloseq","taxonomyTable, dist, otu_table, phylo, sample_data, phyloseq",6
"piano","",0
"planet","",0
"plotgardener","",0
"plyranges","FileOperator, BamFileOperator, GroupedGenomicRanges, GroupedIntegerRanges, DeferredGenomicRanges",5
"powerTCR","",0
"preprocessCore","",0
"proDA","proDAFit",1
"profileplyr","profileplyr",1
"progeny","",0
"ProtGenerics","ProcessingStep, Param, characterOrFunction",3
"pvca","",0
"QDNAseq","QDNAseqCopyNumbers, QDNAseqReadCounts",2
"QFeatures","NumericVariableFilter, AssayLink, QFeatures, CharacterVariableFilter, AssayLinks",5
"quantiseqr","",0
"quantro","quantro",1
"quantsmooth","",0
"qusage","QSarray",1
"qvalue","",0
"R4RNA","",0
"RaggedExperiment","RaggedExperiment",1
"RankProd","",0
"RBGL","",0
"Rbowtie","",0
"Rbowtie2","",0
"RCy3","spoofResponse",1
"ReactomeGSA","ReactomeAnalysisResult",1
"ReactomePA","",0
"ReadqPCR","qPCRBatch, CyclesSet",2
"rebook","",0
"recount","",0
"recount3","",0
"RedeR","RedPort",1
"regioneR","",0
"Repitools","ChromaResults, MappabilitySource, BayMethList, SequenceQC, CopyEstimate, GCAdjustParams, AdjustedCopyEstimate, QdnaData, SequenceQCSet, ScoresList, ClusteredScoresList, FastQC, RegionStats",13
"ResidualMatrix","ResidualMatrixSeed, ResidualMatrix",2
"rGADEM","motif, align, parameters, gadem",4
"Rgraphviz","pEdge, Ragraph, BezierCurve, AgTextLabel, pNode, xyPoint, AgEdge, boundingBox, AgNode",9
"rGREAT","GreatObject, GreatJob",2
"rhdf5","",0
"rhdf5filters","",0
"Rhdf5lib","",0
"Rhisat2","",0
"Rhtslib","",0
"RnBeads","RnBSet, RnBClusterRun, Report, RnBDiffMeth, ReportGgPlot, ClusterArchitecture, RnBiseqSet, ReportPlot, RnBeadClustering, RnBeadSet, RnBeadRawSet",11
"ROC","rocc",1
"rols","",0
"ropls","oplsMultiDataSet, opls",2
"ROTS","",0
"RProtoBufLib","",0
"rpx","",0
"Rqc","RqcResultSet",1
"rrvgo","",0
"Rsamtools","BamFileList, BcfFile, RsamtoolsFile, FaFileList, BamFile, ScanBcfParam, BcfFileList, ScanBamParam, BamSampler, BamViews, FaFile, PileupParam, RsamtoolsFileList, PileupFiles, ScanBVcfParam, TabixFile, ApplyPileupsParam, TabixFileList",18
"Rsubread","",0
"RTCGA","",0
"RTCGAToolbox","FirehoseCGHArray, FirehoseGISTIC, FirehoseMethylationArray, DGEResult, FirehoseData, FirehosemRNAArray, CorResult",7
"rtracklayer","BEDPEFile, BigBedSelection, BrowserSession, UCSCSchema, TwoBitFile, ChainFile, FastaFile, BrowserView, BigWigSelection, UCSCData, BEDFile, BEDGraphFile, BED15File, Track, Quickload, GFF1File, RTLFile, GraphTrackLine, UCSCFile, GFF3File, TrackContainer, GFF2File, TrackHubGenome, Bed15TrackLine, UCSCTrackModes, BigWigFile, GVFFile, BasicTrackLine, TrackHub, QuickloadGenome, WIGFile, TrackLine, BigWigFileList, GTFFile, UCSCSession, BrowserViewList, RTLFileList, UCSCView, BigBedFile, GFFFile",40
"RUVSeq","",0
"rWikiPathways","",0
"S4Arrays","Array, DummyArrayViewport, RegularArrayGrid, ArbitraryArrayGrid, ArrayViewport, SafeArrayViewport, ArrayGrid, DummyArrayGrid",8
"S4Vectors","atomic, integer_OR_LLint, TransposedDataFrame, Factor, RectangularData, DataFrameFactor, SortedByQuerySelfHits, List, FilterMatrix, Hits, DataFrame, Rle, list_OR_List, NSBS, Pairs, SortedByQueryHits, Annotated, HitsList, integer_OR_raw, character_OR_NULL, DataFrame_OR_NULL, FilterRules, SelfHits, vector_OR_factor, LLint, DFrame, vector_OR_Vector, SortedByQueryHitsList, expression_OR_function, Vector, SimpleList",31
"safe","SAFE",1
"sangeranalyseR","QualityReport, SangerContig, ChromatogramParam, ObjectResults, SangerRead, SangerAlignment",6
"sangerseqR","abif, scf, sangerseq",3
"satuRn","StatModel",1
"SC3","",0
"ScaledMatrix","ScaledMatrixSeed, ScaledMatrix",2
"scater","SCESet",1
"scDblFinder","",0
"scde","",0
"scds","",0
"schex","",0
"scmap","",0
"scMerge","",0
"scran","",0
"scRepertoire","",0
"scry","",0
"scuttle","outlier.filter",1
"SeqArray","SeqVarGDSClass",1
"seqLogo","pwm",1
"seqPattern","",0
"SeqVarTools","SeqVarWindowIterator, SeqVarBlockIterator, SeqVarIterator, SeqVarListIterator, SeqVarRangeIterator, SeqVarData",6
"sesame","",0
"SGSeq","",0
